.308 Norma Magnum,1960,Sweden,1,R,7.85x65.00mm,3687,3640,1.975,84.0,0.308,,65.00mm,Belted. European cartridge designed for the US market.
.308 Winchester,1955,US,8,R,7.62x51mm,3358,3009,1.792,54.50,0.308,0.530,51mm,Civilian 7.62mm NATO.
.318 Westley Richards,1910,UK,0,R,8.4x60.1mm,2400,3194,,,.330,,60.1mm,Proprietary cartridge
.325 WSM,2005,US,1,R,8.2x53.3mm,3360,3762,2.239,75.0,0.323,,53.3mm,Winchester Short Magnum
.327 Federal Magnum,2008,US,1,H,7.9x30mmR,1600,370,0.463,14.0,0.312,,30mm,
.333 Jeffery,1908,UK,0,R,8.5x62.9mm,2500,3230,,,0.333,,62.9mm,Necked down .404 Jeffery
.338 Federal,2007,US,1,R,8.61x51.18mm,2937,3061,2.084,52.0,0.338,0.41,51.18mm,Necked up .308 Win.
.338 Lapua Magnum,1983,Finland,5,R,8.6x70mm,2900,4768,3.288,106.0,0.338,0.700,70mm,Designed for military sniper rifles.
.338 Marlin Express,2010,US,1,R,8.60x48.01mmR ,2565,2922,2.278,49.3,0.338,0.430,48.01mm,Rimmed lever action cartridge designed for the Marlin Model 336.
.338 Norma Magnum,2008,US,1,R,8.6x63.3mm,,,,,0.338,,63.3mm,Wildcat designed to derive maximum effect from long, aerodynamic bullets.
.338 Remington Ultra Magnum,2000,US,2,R,8.60x70.1mm,3332,4492,2.696,104.0,0.338,,70.1mm,Beltless, rebated rim cartridge based on the .300 Remington Ultra Magnum.
.338 Ruger Compact Magnum,2007,US,1,R,8.6x51.2mm,2980,3865,2.594,63.0,0.338,0.515,51.2mm,Based on .375 Ruger case.
.338 Winchester Magnum,1958,US,5,R,8.61x63.50mmR ,3080,4077,2.647,78.0,0.338,0.515,63.50mm,Belted.
.338-06,1998,US,,R,8.6x63mm,2678,3582,,62.5,0.338,,63mm,Necked up .30-06.
.348 Winchester,1936,US,1,R,8.8x57.3mmR,2630,2685,2.042,70.0,0.348,,57.3mm,One of the most powerful rimmed cartridges ever used in a lever rifle.
.350 Legend,2019,US,,R,9x43mm,2300,1800,,36.5,0.355,,43mm,Straight-walled hunting cartridge
.350 Remington Magnum,1965,US,1,R,9.12x55.12mm,2775,3419,2.464,64.5,0.358,0.293,55.12mm,Belted.
.351 Winchester Self-Loading,1906,US,,R,8.9x34.9mmR,1850,981,1.061,19.5,0.351,,34.9mm,a.k.a. .351 WSL or .351 SL. Only chambered commercially in the Winchester Model 1907 rifle.
.357 Magnum,1935,US,6,H,9.1x33mmR,1500,624,0.832,23.0,0.357,0.206,33mm,Lengthened .38 Special.
.357 SIG,1994,Germany/US,6,H,9.02x21.97mm,1350,502,0.744,10.8,0.355,0.212,21.97mm,
.358 Winchester,1955,US,2,R,9.11x51.18mm,2475,2720,2.198,52.0,0.358,0.282,51.18mm,
.360 Buckhammer,2023,US,4,R,9.12x62.50mm,2399,2300,1.917,,0.359,,45.72mm,Introduced by Remington at the 2023 SHOT Show. Straight-walled cartridge based on a blown-out .30-30 Winchester case and designed for deer hunting in U.S. states that require hunters with modern rifles to use that cartridge shape.
.375 Holland & Holland Magnum,1912,UK,7,R,9.5x72.4mm,2800,4700,3.357,87,0.375,0.430,72.4mm,The rimmed .375 H&H Flanged Magnum for double-guns and the .375 H&H Belted Rimless Magnum with a headspacing belt for magazine-fed rifles were released simultaneously in 1912.
.375 Remington Ultra Magnum,2002,US,1,R,9.5x72.4mm,3293,5421,3.292,105.0,0.375,,72.4mm,A beltless, rebated rim cartridge developed by Remington Arms by necking up the .300 Remington Ultra Magnum case.
.375 Ruger,2007,US,1,R,9.5x65.5mm,2840,4835,3.405,90.5,0.375,0.430,65.5mm,Developed in collaboration between Ruger and Hornady.[citation needed]
.375 Weatherby Magnum,1945,US,,R,9.5x72.6mm,3110,5223,3.359,99.0,0.375,,72.6mm,Belted magnum based on the .375 H&H, blown out and reshouldered.
.376 Steyr,1999,Austria & US,2,R,9.5x60mm,2754,4211,,,0.375,,60mm,Hornady and Steyr announced this cartridges at the 2000 Shot Show, based on a concept by Jeff Cooper.
.380 ACP,1912,US,6,H,9x17mm,1000,200,0.4,4.3,0.355,,17mm,a.k.a. .380 Auto, 9mm Browning Short
.400 Corbon,1997,US,,H,10.2x23mm,1400,588,,,0.401,,23mm,.45 ACP case necked down to .40 caliber.
.400 H&H Magnum,2003,UK,,R,10.4x72.3mm,2375,5015,,,0.411,,72.3mm,Belted magnum.
.401 Winchester Self-Loading,1910,US,0,R,10.31x38mmR,2135,1958,1.834,29.0,0.406,,38mm,Rimmed. a.k.a. .401 WSL or .401 SL. Obsolete. Only chambered commercially in the Winchester Model 1910 and the Belgian Clement-Neumann rifle.
.404 Jeffery,1909,UK,3,R,10.72x73.02mm ,2600,4700,3.615,96.4,0.423,0.358,73.02mm,aka 404 Rimless Nitro Express.
.405 Winchester,1904,US,0,R,10.45x65.61mmR ,2404,3311,2.936,61.0,0.411,,65.61mm,Most powerful rimmed cartridge designed specifically for lever-action rifles. Obsolete.
.408 Cheyenne Tactical,2001,US,,R,10.4x77mm,3500,7744,,,0.408,0.874,77mm,Used in Cheyenne Tactical's M200 Intervention, and M310 rifles.
.416 Barrett,2006,US,,R,10.6x83mm,3150,8764,5.564,200,0.416,0.72,83mm,Designed as an alternative to the .50 BMG for sniper rifles.
.416 Remington Magnum,1988,US,5,R,10.6x72.4mm,2400,5116,4.263,90.0,0.416,0.367,72.4mm,
.416 Rigby,1911,UK,4,R,10.6x74mm,2415,5180,4.29,116.0,0.416,0.319,74mm,Later used parent cartridge of the .338 Lapua Magnum.
.444 Marlin,1964,US,2,R,10.9x57.2mmR,2400,3389,2.824,56.0,0.429,0.225,57.2mm,Lengthened .44 Magnum case, but a lever-action rifle cartridge.
.450 Adams,1868,UK,0,H,11.6x18mmR,700,245,0.7,13,0.455,,18mm,a.k.a. .450 Boxer and .450 Revolver. Obsolete black powder handgun cartridge.
.450 Bushmaster,2007,US,,R,11.5x43.2mm,2180,2744,2.517,,0.452,,43.2mm,Developed by hornady as a straight walled rifle round similar to .460 S&W Magnum
.450 Marlin,2000,US,1,R,11.6x53mmR,2225,3572,3.211,59.0,0.458,0.230,53mm,Lever action round. Shortened .458 Winchester Magnum case, designed to match .45-70 performance.
.450 Nitro Express,1895,UK,1,R,12.1x83mmR,2150,4927,4.583,157,0.458,0.325,83mm,J. Rigby smokeless cartridge based upon .450 Black Powder Express.
.454 Casull,1959,US,4,H,11.5x35.1mmR,1900,1924,2.025,38.2,0.452,0.180,35.1mm,Lengthened .45 Colt, most powerful handgun round until the 1990s.
.455 Webley,1897,UK,,H,11.5x19.6mmR,700,285,0.814,5.0,0.455,,19.6mm,Originally a black powder handgun cartridge.
.458 Lott,1971,US,3,R,11.66x71.12mm ,2300,5873,5.107,79.0,0.458,0.389,71.12mm,Belted.
.458 U.S. Silent Sniper,1969,US,4,R,11.66x33mm,2140,5084,4.751,81.0,0.458,0.295,55mm,Developed for the Silent Sniper System
.458 Winchester Magnum,1956,US,4,R,11.66x64mm,2140,5084,4.751,81.0,0.458,0.295,64mm,
.460 S&W Magnum,2005,US,3,H,11.5x46mmR,2200,2149,1.954,48.5,0.452,0.151,46mm,Revolver cartridge for handgun hunting.
.460 Weatherby,1958,US,,R,11.6x74mm,2808,7504,5.345,128.0,0.458,,74mm,aka 460 Weatherby Magnum
.465 H&H Magnum,2003,UK,,R,11.9x73.5mm,2375,6121,,134,0.468,,73.5mm,Belted magnum.
.470 Nitro Express,1907,UK,3,R,12.1x83mmR,1885,5132,5.445,125,0.475,0.290,83mm,Designed by Joseph Lang.
.475 Linebaugh,1988,US,,H,12.1x36mmR,1400,1741,2.487,,0.475,,36mm,
